date,open,high,low,close,volume
2034-01-04,20.3544,20.6188,20.3544,20.4110,41294
2034-01-05,20.7651,20.7651,20.4063,20.4299,18141
2034-01-06,20.3827,20.5951,20.3827,20.4771,84836
2034-01-07,20.6707,20.8548,20.6707,20.8548,12149
2034-01-08,21.2324,21.4449,21.1710,21.4449,16156
2034-01-11,21.4024,21.4354,21.1852,21.3316,15567
2034-01-12,21.0956,21.2513,20.9964,21.0295,22921
2034-01-13,20.9067,21.0673,20.8265,20.9540,171176
2034-01-14,20.9964,21.1852,20.9964,21.1333,178906
2034-01-15,20.6565,20.6659,20.1466,20.3119,21269
2034-01-19,19.6651,20.2694,19.6651,20.2694,24931
2034-01-20,19.6037,19.6037,19.2779,19.4385,40751
2034-01-21,19.4149,19.5281,18.6359,18.7256,41355
2034-01-22,18.3715,18.6548,18.0458,18.0458,39696
2034-01-25,18.5178,18.6311,18.2299,18.2960,30407
2034-01-26,18.0694,18.6595,18.0222,18.3054,20727
2034-01-27,18.2818,18.4470,18.0363,18.4470,34730
2034-01-28,18.2440,18.2440,17.8663,17.9938,25633
2034-01-29,18.1118,18.3526,17.8568,17.9513,76811
2034-02-01,18.2771,18.5084,18.2771,18.4188,69327
2034-02-02,18.6124,18.9428,18.6076,18.8484,17765
2034-02-03,18.4471,18.6359,18.2440,18.2724,29717
2034-02-04,17.7341,17.7625,17.0638,17.1015,19390
2034-02-05,16.9126,17.0306,15.8976,16.3934,26942
2034-02-08,16.2045,16.5114,16.0110,16.0393,19390
2034-02-09,16.8891,17.1912,16.6577,16.9221,30552
2034-02-10,17.1015,17.2431,16.9787,17.2196,29853
2034-02-11,16.6058,16.8891,16.3981,16.7711,30180
2034-02-12,16.1810,16.4642,16.1244,16.3793,30328
2034-02-16,16.5681,17.2196,16.5681,17.2196,21247
2034-02-17,17.6445,17.9419,17.4557,17.5076,34173
2034-02-18,17.6350,18.0221,17.6350,17.9985,28827
2034-02-19,17.8569,18.1166,17.7862,18.0694,27536
2034-02-22,18.4235,18.4707,18.3290,18.3290,85125
2034-02-23,17.9750,18.1308,17.7201,17.7909,26370
2034-02-24,17.8003,18.0930,17.7483,17.9230,20076
2034-02-25,17.4698,17.7247,17.4084,17.7200,16625
2034-02-26,17.9041,18.2582,17.7341,18.1307,43190
2034-03-01,18.2300,18.4235,18.1827,18.3527,15431
2034-03-02,18.4942,18.6359,18.3667,18.4612,14038
2034-03-03,18.4754,18.7917,18.4659,18.6123,14174
2034-03-04,18.7067,18.7539,18.4707,18.5698,14550
2034-03-05,18.9427,19.4385,18.9427,19.3677,22790
2034-03-08,19.4857,19.6037,19.4196,19.5329,13335
2034-03-09,19.0797,19.4149,19.0183,19.2827,21810
2034-03-10,19.3535,19.6509,19.3535,19.4385,29203
2034-03-11,19.2497,19.5565,19.2260,19.4385,10673
2034-03-12,19.5234,19.5707,19.4196,19.4904,39270
2034-03-15,19.3393,19.4857,19.1316,19.2497,119242
2034-03-16,19.4478,19.7453,19.4148,19.6745,278344
2034-03-17,19.7453,19.8350,19.6603,19.6745,40388
2034-03-18,19.6274,19.6746,19.2732,19.4149,25018
2034-03-19,19.5660,19.5753,19.2260,19.3582,17677
2034-03-22,18.8720,19.3912,18.8720,19.3204,13240
2034-03-23,19.4810,19.5187,19.2874,19.4196,16697
2034-03-24,19.1081,19.2685,19.0136,19.1977,18094
2034-03-25,19.4763,19.6509,19.2213,19.2685,20663
2034-03-26,19.4951,20.0050,19.3677,19.4904,16442
2034-03-29,19.5565,19.7642,19.5093,19.7642,11229
2034-03-30,19.6084,19.6132,19.3912,19.4715,18361
2034-03-31,18.9900,19.2024,18.9711,19.1080,28829
2034-04-01,19.4432,19.5990,19.4101,19.4857,20788
2034-04-05,19.4385,19.5801,19.4385,19.5329,13743
2034-04-06,19.1080,19.3440,19.1080,19.3110,20879
2034-04-07,18.8483,18.9616,18.6264,18.6595,232576
2034-04-08,18.3195,18.6170,18.2723,18.5792,38988
2034-04-09,18.5839,19.1127,18.5839,19.0419,20378
2034-04-12,19.2969,19.4621,19.2827,19.3204,16824
2034-04-13,19.3204,19.3865,19.1127,19.2402,10165
2034-04-14,19.5329,19.6746,19.5329,19.6321,11370
2034-04-15,19.4479,19.6321,19.3959,19.4385,17342
2034-04-16,19.3440,19.4479,18.6264,18.7067,24456
2034-04-19,18.4187,18.7256,18.4187,18.7256,24670
2034-04-20,18.9240,18.9664,18.6831,18.7492,22332
2034-04-21,18.3762,18.3951,17.9985,18.0930,19790
2034-04-22,17.5264,17.7861,17.4272,17.7861,46036
2034-04-23,17.6728,17.8569,17.5307,17.7578,40581
2034-04-26,18.1496,18.3290,18.0032,18.1118,18347
2034-04-27,17.4320,17.6351,16.5350,16.6295,21790
2034-04-28,17.2007,17.2903,16.6342,16.9363,42635
2034-04-29,17.1959,17.4225,17.0874,17.3376,55348
2034-04-30,17.4887,17.5595,17.1724,17.2432,17803
2034-05-03,17.2715,17.4556,17.2432,17.3990,16072
2034-05-04,16.6059,16.6059,16.0488,16.1479,97260
2034-05-05,15.4586,15.7371,15.4586,15.5152,26810
2034-05-06,15.4491,15.6050,14.4530,14.6324,52873
2034-05-07,14.3161,14.4294,13.7261,14.3114,298891
2034-05-10,16.9835,17.3377,16.7852,17.2432,492210
2034-05-11,16.2989,17.0968,16.2989,16.9552,345802
2034-05-12,16.7003,17.1960,16.6814,16.9363,166900
2034-05-13,16.5822,16.6719,16.3934,16.3934,103078
2034-05-14,15.9626,15.9626,15.2316,15.4752,120056
2034-05-17,15.6215,15.6410,14.9636,15.3096,30243
2034-05-18,16.1088,16.1088,15.0123,15.0415,83004
2034-05-19,15.0270,15.2852,14.8222,15.1926,437289
2034-05-20,14.6614,15.1584,14.3786,15.1584,96838
2034-05-21,14.7198,15.4265,14.7198,15.4265,51468
2034-05-24,15.1682,15.2413,15.0123,15.0951,35649
2034-05-25,14.3300,15.1097,14.3300,15.0951,198971
2034-05-26,14.7686,14.8905,14.3495,14.3544,50543
2034-05-27,14.9635,15.4265,14.8417,15.4265,25863
2034-05-28,15.1828,15.3193,14.8221,14.9635,45679
2034-06-01,14.4518,14.9391,14.4421,14.5883,44214
2034-06-02,14.5250,14.9782,14.5250,14.9782,39832
2034-06-03,14.8807,14.9100,14.4519,14.7053,23318
2034-06-04,13.7111,13.8037,13.4772,13.4772,73740
2034-06-07,13.7207,13.7939,13.2237,13.2481,66940
2034-06-08,13.2238,13.3115,12.9168,13.3066,148313
2034-06-09,13.3797,13.4772,13.0873,13.2335,59186
2034-06-10,13.7939,14.2033,13.7939,14.0863,19553
2034-06-11,14.4762,14.8417,14.4762,14.7930,29196
2034-06-14,15.2413,15.3534,14.9879,14.9879,17911
2034-06-15,15.5045,16.0259,15.4801,16.0259,33599
2034-06-16,15.6702,15.9382,15.6459,15.8115,16819
2034-06-17,15.9869,16.0113,15.6750,15.8163,18810
2034-06-18,15.9821,16.2891,15.9821,16.2063,25450
2034-06-21,16.3524,16.3865,15.9870,16.0211,36241
2034-06-22,15.7433,15.9382,15.4168,15.4168,82602
2034-06-23,15.5484,15.6702,15.3437,15.5484,44825
2034-06-24,15.2316,15.2316,14.7442,14.7686,35102
2034-06-25,14.7978,14.9879,14.4665,14.8076,17465
2034-06-28,14.9636,15.2219,14.8173,15.1293,18241
2034-06-29,14.2812,14.3544,13.9109,13.9353,17671
2034-06-30,14.1789,14.5932,14.1789,14.4470,31469
2034-07-01,14.3544,14.4762,14.1302,14.3690,14368
2034-07-02,14.7881,14.8661,14.4518,14.5054,19253
2034-07-06,15.0123,15.2072,14.7247,14.8076,27420
2034-07-07,15.1585,16.0357,15.1342,16.0357,31644
2034-07-08,16.3768,16.4987,16.2745,16.4256,19759
2034-07-09,16.2793,16.5961,16.2258,16.5717,47798
2034-07-12,16.3428,16.5426,16.2794,16.3817,19280
2034-07-13,16.6644,17.0542,16.6644,17.0542,30261
2034-07-14,16.4742,16.8593,16.4256,16.7910,32201
2034-07-15,16.7765,16.7765,16.2794,16.5328,66437
2034-07-16,16.2794,16.2794,15.7189,15.8554,27271
2034-07-19,16.1088,16.2307,15.9382,15.9821,14905
2034-07-20,15.5484,16.0357,15.5191,16.0114,33468
2034-07-21,16.1331,16.1867,15.6702,15.7530,133102
2034-07-22,16.4012,16.8154,16.3812,16.6693,74724
2034-07-23,16.4500,17.0299,16.2794,16.9129,86660
2034-07-26,16.9128,17.2248,16.9128,17.2248,25949
