date,open,high,low,close,volume
2034-01-04,10.4936,10.5678,10.3859,10.5344,1697174
2034-01-05,10.5085,10.6124,10.3526,10.5753,1887634
2034-01-06,10.5011,10.5567,10.0408,10.0815,3012115
2034-01-07,10.1484,10.1930,9.9034,10.0333,1379527
2034-01-08,10.0815,10.0815,9.8217,9.9479,1757569
2034-01-11,9.9961,10.0259,9.7697,9.8700,2163062
2034-01-12,9.7994,9.8291,9.5433,9.5916,1675475
2034-01-13,9.6212,9.7438,9.4394,9.6993,1760640
2034-01-14,9.6360,9.8662,9.4949,9.5099,1811802
2034-01-15,9.5211,9.6064,9.3280,9.3874,1385987
2034-01-19,9.3800,9.4356,9.2909,9.3949,1646139
2034-01-20,9.2982,9.3873,9.1216,9.1981,1474194
2034-01-21,9.2203,9.4023,8.9494,9.2018,1520967
2034-01-22,9.1795,9.2278,8.9679,9.0311,2169984
2034-01-25,9.0497,9.1350,9.0088,9.0162,1536716
2034-01-26,8.9717,9.2798,8.9606,9.1796,1644641
2034-01-27,9.1202,9.2390,9.0199,9.1610,1248241
2034-01-28,9.2018,9.3132,8.8938,8.9976,1529050
2034-01-29,9.0497,9.1944,8.8547,8.8974,1925352
2034-02-01,8.9568,9.1908,8.8864,9.1535,1557624
2034-02-02,9.1684,9.2130,8.9902,9.1424,1356963
2034-02-03,9.0905,9.1758,8.9865,9.1573,1073106
2034-02-04,9.1498,9.1572,8.8788,8.8937,1404664
2034-02-05,8.8900,8.9382,8.6635,8.8417,1918166
2034-02-08,8.8231,9.0793,8.8157,8.9011,1081639
2034-02-09,9.0273,9.1349,8.9270,9.0719,1555267
2034-02-10,9.0533,9.3020,9.0049,9.2055,2896200
2034-02-11,8.7712,8.9494,8.4372,8.8455,7966097
2034-02-12,8.8603,8.9271,8.5708,8.8752,2450486
2034-02-16,8.9234,9.2130,8.8752,9.1832,2134602
2034-02-17,9.2167,9.2611,9.0422,9.0719,2995587
2034-02-18,9.0682,9.4617,9.0385,9.4320,2393703
2034-02-19,9.4171,9.4840,9.3244,9.3355,1749198
2034-02-22,9.3540,9.3837,9.2093,9.2575,1705939
2034-02-23,9.2241,9.3652,9.0831,9.2723,1844663
2034-02-24,9.3354,9.4431,9.2612,9.3503,1380446
2034-02-25,9.2575,9.3002,9.1332,9.2649,1802380
2034-02-26,9.2426,9.2982,9.1313,9.2055,2457276
2034-03-01,9.2426,9.5619,9.1795,9.5359,1984354
2034-03-02,9.5285,9.6176,9.4839,9.5285,2013161
2034-03-03,9.5433,9.5656,9.3874,9.4394,2018853
2034-03-04,9.4208,9.5303,9.3428,9.5136,1012223
2034-03-05,9.4876,9.6287,9.4607,9.5730,1352335
2034-03-08,9.4987,9.5990,9.4802,9.5359,858224
2034-03-09,9.4763,9.5955,9.4317,9.4949,1031738
2034-03-10,9.4875,9.6141,9.4243,9.5173,1682633
2034-03-11,9.4577,9.4949,9.2827,9.4763,1701884
2034-03-12,9.4949,9.4949,9.2455,9.2567,1919958
2034-03-15,9.2604,9.3982,9.2008,9.3758,1599797
2034-03-16,9.3758,9.4577,9.2530,9.4243,2167301
2034-03-17,9.4688,9.5582,9.4465,9.4772,1400213
2034-03-18,9.3684,9.5061,9.3535,9.4000,1392254
2034-03-19,9.4130,9.4726,9.3385,9.3981,2502681
